id,question,answer,explanation,difficulty
186,"펀드 투자 시 환매 시점의 기준가로 환매금액이 결정된다",O,"펀드 환매 시 환매 신청일의 기준가가 아닌, 실제 환매일의 기준가로 금액이 결정됩니다.",3
187,"주식투자에서 '우선주'는 '보통주'보다 의결권이 강하다",X,"우선주는 일반적으로 의결권이 없거나 제한적이지만, 배당에서 우선권을 가집니다.",3
188,"보험금 청구는 사고 발생 즉시 해야만 한다",X,"보험금 청구에는 일정 기간의 여유가 있으며, 준비 후 청구하는 것이 좋습니다.",2
189,"주식시장에서 '공매도'는 주가 하락을 예상할 때 사용하는 투자 방법이다",O,"공매도는 주가가 하락할 것으로 예상될 때 사용하는 투자 전략입니다.",3
190,"모든 대출은 신용등급과 상관없이 동일한 금리가 적용된다",X,"대출 금리는 일반적으로 신용등급에 따라 다르게 적용됩니다.",2
191,"연금저축은 만 55세 이후부터 수령이 가능하다",O,"연금저축은 일반적으로 만 55세 이후부터 연금 형태로 수령이 가능합니다.",2
192,"주식투자에서 'PER'이 낮을수록 저평가된 주식으로 볼 수 있다",O,"일반적으로 PER이 낮을수록 해당 주식이 저평가되었다고 볼 수 있습니다.",3
193,"신용카드 연회비는 법적으로 의무 납부 사항이다",X,"신용카드 연회비는 카드사 정책에 따라 다르며, 면제되는 경우도 있습니다.",2
194,"주식시장에서 '스윙트레이딩'은 단기 매매를 의미한다",O,"스윙트레이딩은 수일에서 수주 정도의 단기 매매를 의미합니다.",3
195,"모든 보험상품은 중도해지 시 원금이 보장된다",X,"보험상품 중도해지 시 원금 손실이 발생할 수 있습니다.",2
196,"펀드 투자 시 운용보수는 투자자가 직접 지불한다",X,"운용보수는 펀드 자산에서 자동으로 차감되어 지불됩니다.",3
197,"주택담보대출의 DTI는 연소득 대비 연간 원리금 상환액의 비율이다",O,"DTI(총부채상환비율)는 연소득 대비 연간 원리금 상환액의 비율을 의미합니다.",3
198,"신용카드 결제일을 연기하면 항상 이자가 발생한다",O,"결제일 연기 시 대부분의 경우 이자가 발생합니다.",2
199,"주식투자에서 '시장가 주문'은 현재 시장 가격으로 즉시 체결되는 주문이다",O,"시장가 주문은 현재 시장에서 거래되는 가격으로 즉시 체결을 목표로 하는 주문입니다.",2
200,"모든 금융상품은 가입 즉시 해지가 가능하다",X,"일부 금융상품은 의무 가입 기간이 있어 즉시 해지가 불가능할 수 있습니다.",2
201,"주식시장에서 '베어마켓'은 주가가 지속적으로 상승하는 시장을 의미한다",X,"베어마켓은 주가가 지속적으로 하락하는 시장을 의미합니다.",2
202,"연금저축은 중도해지 시 세금 혜택을 모두 반환해야 한다",O,"중도해지 시 그동안 받은 세금 혜택을 추가 납부해야 합니다.",3
203,"주식의 액면가는 실제 거래되는 가격과 항상 동일하다",X,"액면가와 실제 거래가격은 다를 수 있습니다.",2
204,"신용카드 리볼빙 서비스는 일시불 결제를 나누어 갚는 방식이다",O,"리볼빙은 일시불 금액을 분할 상환하는 서비스입니다.",2
205,"주택청약 1순위가 되려면 청약통장 가입 후 6개월이 지나야 한다",O,"대부분의 지역에서 1순위 자격 취득에는 6개월 이상의 가입 기간이 필요합니다.",2
206,"모든 주식 거래에는 증권거래세가 부과된다",X,"일부 거래는 증권거래세가 면제될 수 있습니다.",3
207,"주식시장에서 '스톱리밋 주문'은 손실을 제한하는 주문 방식이다",O,"스톱리밋 주문은 주가가 특정 가격에 도달하면 자동으로 매도하여 손실을 제한합니다.",3
208,"펀드의 환매수수료는 법적으로 의무사항이다",X,"펀드에 따라 환매수수료가 없는 경우도 있습니다.",2
209,"주택담보대출의 LTV 규제는 모든 지역에서 동일하게 적용된다",X,"지역과 주택 가격에 따라 LTV 규제가 다르게 적용될 수 있습니다.",3
210,"신용카드 캐시백은 현금으로 직접 돌려받는 것이다",X,"대부분의 경우 포인트나 할인 형태로 제공됩니다.",2
211,"주식투자에서 '블루칩'은 항상 안전한 투자대상이다",X,"블루칩 주식도 시장 상황에 따라 가치가 하락할 수 있습니다.",2
212,"연금보험은 중도해지 시 원금이 보장된다",X,"중도해지 시 원금 손실이 발생할 수 있습니다.",2
213,"주식시장에서 '거래정지'는 해당 주식의 거래가 영구적으로 중단되는 것을 의미한다",X,"거래정지는 일시적인 조치이며, 조건이 해소되면 거래가 재개됩니다.",2
214,"모든 대출은 소득증빙이 필요하다",X,"담보대출 등 일부 대출은 소득증빙 없이도 가능할 수 있습니다.",2
215,"주식투자에서 'ROE'가 높을수록 항상 좋은 기업이다",X,"ROE가 높더라도 다른 재무지표도 함께 고려해야 합니다.",3
216,"신용카드 포인트는 영구적으로 유효하다",X,"대부분의 신용카드 포인트는 유효기간이 있습니다.",1
217,"주식시장에서 '스톡옵션'은 누구나 받을 수 있다",X,"스톡옵션은 주로 임직원에게 부여되는 혜택입니다.",2
218,"모든 보험상품은 보험금 청구 시 즉시 지급된다",X,"보험금 지급에는 심사 과정이 필요하며 즉시 지급되지 않을 수 있습니다.",2
219,"펀드 투자 시 펀드 매니저의 과거 실적이 미래 수익을 보장한다",X,"과거 실적이 좋다고 해서 반드시 미래의 수익을 보장하지는 않습니다.",3
220,"주택담보대출의 DSR은 총 소득 대비 모든 대출의 원리금 상환액 비율이다",O,"DSR(총부채원리금상환비율)은 연간 소득 대비 모든 대출의 연간 원리금 상환액 비율을 의미합니다.",3
221,"신용카드 할부 결제는 이자가 발생하지 않는다",X,"대부분의 할부 결제에는 이자가 발생합니다.",1
222,"주식투자에서 '액면분할'은 주가를 높이는 효과가 있다",X,"액면분할은 주가를 낮추고 유동성을 높이는 효과가 있습니다.",2
223,"모든 금융상품은 가입 시 수수료가 발생한다",X,"수수료가 없는 금융상품도 존재합니다.",2
224,"연금보험의 보험료는 중간에 변경할 수 없다",X,"많은 연금보험 상품은 보험료 증액 또는 감액이 가능합니다.",2
225,"주식투자에서 '시가총액'이 큰 기업일수록 안전한 투자대상이다",X,"시가총액이 크다고 해서 반드시 안전한 투자대상은 아닙니다.",2
226,"모든 은행의 예금금리는 동일하다",X,"은행마다, 그리고 상품마다 예금금리가 다를 수 있습니다.",1
227,"주식 배당금은 항상 현금으로만 지급된다",X,"주식 배당 등 현금 이외의 형태로도 배당이 이루어질 수 있습니다.",2
228,"인플레이션은 화폐의 구매력을 증가시킨다",X,"인플레이션은 화폐의 구매력을 감소시킵니다.",2
229,"주식시장에서 '공매도'는 주가 상승을 예상할 때 사용하는 전략이다",X,"공매도는 주가 하락을 예상할 때 사용하는 투자 전략입니다.",3
230,"모든 펀드는 원금이 보장된다",X,"대부분의 펀드는 원금 보장이 되지 않으며 투자 위험이 있습니다.",2
231,"신용카드 포인트는 현금과 동일한 가치를 지닌다",X,"신용카드 포인트는 사용처와 조건에 제한이 있어 현금과 완전히 동일하지 않습니다.",2
232,"주택청약통장은 누구나 가입할 수 있다",O,"주택청약통장은 나이 제한 없이 누구나 가입할 수 있습니다.",1
233,"모든 대출은 중도상환이 가능하다",X,"일부 대출 상품은 중도상환에 제한이 있거나 수수료가 부과될 수 있습니다.",2
234,"주식투자에서 '배당수익률'은 주가 대비 배당금의 비율을 의미한다",O,"배당수익률은 주당 배당금을 주가로 나눈 비율입니다.",2
235,"연금저축은 중도인출이 자유롭다",X,"연금저축은 특정 조건에서만 중도인출이 가능하며 불이익이 있을 수 있습니다.",3
236,"환율 상승은 수입 물가를 낮춘다",X,"환율 상승은 일반적으로 수입 물가를 상승시킵니다.",2
237,"주식시장에서 '테마주'는 항상 안전한 투자대상이다",X,"테마주는 단기적으로 큰 변동성을 보일 수 있어 위험할 수 있습니다.",2
238,"신용등급은 한 번 떨어지면 올리기 어렵다",X,"신용등급은 꾸준한 관리를 통해 개선할 수 있습니다.",2
239,"모든 금융상품의 수익률은 세전 기준으로 표시된다",X,"일부 금융상품은 세후 수익률로 표시되기도 합니다.",3
240,"주식투자에서 'PER'이 높을수록 저평가된 주식이다",X,"일반적으로 PER이 낮을수록 저평가된 것으로 볼 수 있습니다.",3
241,"연금보험과 연금저축은 동일한 상품이다",X,"연금보험은 보험 상품이고, 연금저축은 저축 상품으로 차이가 있습니다.",2
242,"주식시장에서 '상한가'는 하루 동안 오를 수 있는 최대 가격을 의미한다",O,"상한가는 하루 동안 주가가 오를 수 있는 최대 한도를 의미합니다.",2
243,"모든 은행의 예금금리는 동일하다",X,"은행마다, 그리고 상품마다 예금금리가 다를 수 있습니다.",1
244,"신용카드 결제일을 연기하면 이자가 발생하지 않는다",X,"결제일 연기 시 대부분 이자가 발생합니다.",2
245,"주식투자에서 '장기투자'가 '단기투자'보다 항상 유리하다",X,"투자 전략은 상황에 따라 다르며, 장기투자가 항상 유리한 것은 아닙니다.",3
246,"펀드 투자 시 환매수수료를 반드시 내야 한다",X,"펀드에 따라 환매수수료가 없는 경우도 있습니다.",2
247,"주택담보대출의 LTV는 대출금액을 담보가치로 나눈 비율이다",O,"LTV(Loan to Value)는 담보가치 대비 대출금액의 비율을 의미합니다.",3
248,"모든 보험상품은 중도해지가 가능하다",O,"대부분의 보험상품은 중도해지가 가능하지만, 불이익이 있을 수 있습니다.",2
249,"주식시장에서 '테마주'는 항상 안전한 투자대상이다",X,"테마주는 단기적으로 큰 변동성을 보일 수 있어 위험할 수 있습니다.",2
250,"신용등급은 한 번 떨어지면 올리기 어렵다",X,"신용등급은 꾸준한 관리를 통해 개선할 수 있습니다.",2
251,"모든 금융상품의 수익률은 세전 기준으로 표시된다",X,"일부 금융상품은 세후 수익률로 표시되기도 합니다.",3
252,"주식투자에서 '배당수익률'은 주가 대비 배당금의 비율을 의미한다",O,"배당수익률은 주당 배당금을 주가로 나눈 비율입니다.",2
253,"연금저축은 중도인출이 자유롭다",X,"연금저축은 특정 조건에서만 중도인출이 가능하며 불이익이 있을 수 있습니다.",3
254,"신용카드 할부 결제는 항상 일시불 결제보다 유리하다",X,"할부 결제는 이자가 발생할 수 있어 항상 유리한 것은 아닙니다.",2
255,"주식시장에서 '시가총액'은 발행주식 수와 주가를 곱한 값이다",O,"시가총액은 총 발행주식 수에 현재 주가를 곱한 값입니다.",2
256,"모든 대출상품은 금리가 고정되어 있다",X,"변동금리 대출상품도 존재합니다.",2
257,"펀드 투자 시 환매 시점의 기준가로 환매금액이 결정된다",O,"펀드 환매 시 환매 신청일의 기준가가 아닌, 실제 환매일의 기준가로 금액이 결정됩니다.",3
258,"주식투자에서 '우선주'는 '보통주'보다 의결권이 강하다",X,"우선주는 일반적으로 의결권이 없거나 제한적이지만, 배당에서 우선권을 가집니다.",3
259,"보험금 청구는 사고 발생 즉시 해야만 한다",X,"보험금 청구에는 일정 기간의 여유가 있으며, 준비 후 청구하는 것이 좋습니다.",2
260,"주식시장에서 '공매도'는 주가 하락을 예상할 때 사용하는 투자 방법이다",O,"공매도는 주가가 하락할 것으로 예상될 때 사용하는 투자 전략입니다.",3
261,"모든 대출은 신용등급과 상관없이 동일한 금리가 적용된다",X,"대출 금리는 일반적으로 신용등급에 따라 다르게 적용됩니다.",2
262,"연금저축은 만 55세 이후부터 수령이 가능하다",O,"연금저축은 일반적으로 만 55세 이후부터 연금 형태로 수령이 가능합니다.",2
263,"주식투자에서 'PER'이 낮을수록 저평가된 주식으로 볼 수 있다",O,"일반적으로 PER이 낮을수록 해당 주식이 저평가되었다고 볼 수 있습니다.",3
264,"신용카드 연회비는 법적으로 의무 납부 사항이다",X,"신용카드 연회비는 카드사 정책에 따라 다르며, 면제되는 경우도 있습니다.",2
265,"주식시장에서 '스윙트레이딩'은 단기 매매를 의미한다",O,"스윙트레이딩은 수일에서 수주 정도의 단기 매매를 의미합니다.",3
266,"모든 보험상품은 중도해지 시 원금이 보장된다",X,"보험상품 중도해지 시 원금 손실이 발생할 수 있습니다.",2
267,"펀드 투자 시 운용보수는 투자자가 직접 지불한다",X,"운용보수는 펀드 자산에서 자동으로 차감되어 지불됩니다.",3
268,"주택담보대출의 DTI는 연소득 대비 연간 원리금 상환액의 비율이다",O,"DTI(총부채상환비율)는 연소득 대비 연간 원리금 상환액의 비율을 의미합니다.",3
269,"신용카드 결제일을 연기하면 항상 이자가 발생한다",O,"결제일 연기 시 대부분의 경우 이자가 발생합니다.",2
270,"주식투자에서 '시장가 주문'은 현재 시장 가격으로 즉시 체결되는 주문이다",O,"시장가 주문은 현재 시장에서 거래되는 가격으로 즉시 체결을 목표로 하는 주문입니다.",2
271,"모든 금융상품은 가입 즉시 해지가 가능하다",X,"일부 금융상품은 의무 가입 기간이 있어 즉시 해지가 불가능할 수 있습니다.",2
272,"주식시장에서 '베어마켓'은 주가가 지속적으로 상승하는 시장을 의미한다",X,"베어마켓은 주가가 지속적으로 하락하는 시장을 의미합니다.",2
273,"연금저축은 중도해지 시 세금 혜택을 모두 반환해야 한다",O,"중도해지 시 그동안 받은 세금 혜택을 추가 납부해야 합니다.",3
274,"주식의 액면가는 실제 거래되는 가격과 항상 동일하다",X,"액면가와 실제 거래가격은 다를 수 있습니다.",2
275,"신용카드 리볼빙 서비스는 일시불 결제를 나누어 갚는 방식이다",O,"리볼빙은 일시불 금액을 분할 상환하는 서비스입니다.",2
276,"주택청약 1순위가 되려면 청약통장 가입 후 6개월이 지나야 한다",O,"대부분의 지역에서 1순위 자격 취득에는 6개월 이상의 가입 기간이 필요합니다.",2
277,"모든 주식 거래에는 증권거래세가 부과된다",X,"일부 거래는 증권거래세가 면제될 수 있습니다.",3
278,"주식시장에서 '스톱리밋 주문'은 손실을 제한하는 주문 방식이다",O,"스톱리밋 주문은 주가가 특정 가격에 도달하면 자동으로 매도하여 손실을 제한합니다.",3
279,"펀드의 환매수수료는 법적으로 의무사항이다",X,"펀드에 따라 환매수수료가 없는 경우도 있습니다.",2
280,"주택담보대출의 LTV 규제는 모든 지역에서 동일하게 적용된다",X,"지역과 주택 가격에 따라 LTV 규제가 다르게 적용될 수 있습니다.",3
281,"신용카드 캐시백은 현금으로 직접 돌려받는 것이다",X,"대부분의 경우 포인트나 할인 형태로 제공됩니다.",2
282,"주식투자에서 '블루칩'은 항상 안전한 투자대상이다",X,"블루칩 주식도 시장 상황에 따라 가치가 하락할 수 있습니다.",2
283,"연금보험은 중도해지 시 원금이 보장된다",X,"중도해지 시 원금 손실이 발생할 수 있습니다.",2
284,"주식시장에서 '거래정지'는 해당 주식의 거래가 영구적으로 중단되는 것을 의미한다",X,"거래정지는 일시적인 조치이며, 조건이 해소되면 거래가 재개됩니다.",2
285,"모든 대출은 소득증빙이 필요하다",X,"담보대출 등 일부 대출은 소득증빙 없이도 가능할 수 있습니다.",2
286,"주식투자에서 'ROE'가 높을수록 항상 좋은 기업이다",X,"ROE가 높더라도 다른 재무지표도 함께 고려해야 합니다.",3
287,"신용카드 포인트는 영구적으로 유효하다",X,"대부분의 신용카드 포인트는 유효기간이 있습니다.",1
288,"주식시장에서 '스톡옵션'은 누구나 받을 수 있다",X,"스톡옵션은 주로 임직원에게 부여되는 혜택입니다.",2
289,"모든 보험상품은 보험금 청구 시 즉시 지급된다",X,"보험금 지급에는 심사 과정이 필요하며 즉시 지급되지 않을 수 있습니다.",2
290,"펀드 투자 시 펀드 매니저의 과거 실적이 미래 수익을 보장한다",X,"과거 실적이 좋다고 해서 반드시 미래의 수익을 보장하지는 않습니다.",3
291,"주택담보대출의 DSR은 총 소득 대비 모든 대출의 원리금 상환액 비율이다",O,"DSR(총부채원리금상환비율)은 연간 소득 대비 모든 대출의 연간 원리금 상환액 비율을 의미합니다.",3
292,"신용카드 할부 결제는 이자가 발생하지 않는다",X,"대부분의 할부 결제에는 이자가 발생합니다.",1
293,"주식투자에서 '액면분할'은 주가를 높이는 효과가 있다",X,"액면분할은 주가를 낮추고 유동성을 높이는 효과가 있습니다.",2
294,"모든 금융상품은 가입 시 수수료가 발생한다",X,"수수료가 없는 금융상품도 존재합니다.",2
295,"연금보험의 보험료는 중간에 변경할 수 없다",X,"많은 연금보험 상품은 보험료 증액 또는 감액이 가능합니다.",2
296,"주식투자에서 '시가총액'이 큰 기업일수록 안전한 투자대상이다",X,"시가총액이 크다고 해서 반드시 안전한 투자대상은 아닙니다.",2
297,"모든 은행의 예금금리는 동일하다",X,"은행마다, 그리고 상품마다 예금금리가 다를 수 있습니다.",1
298,"주식 배당금은 항상 현금으로만 지급된다",X,"주식 배당 등 현금 이외의 형태로도 배당이 이루어질 수 있습니다.",2
299,"인플레이션은 화폐의 구매력을 증가시킨다",X,"인플레이션은 화폐의 구매력을 감소시킵니다.",2
300,"주식시장에서 '공매도'는 주가 상승을 예상할 때 사용하는 전략이다",X,"공매도는 주가 하락을 예상할 때 사용하는 투자 전략입니다.",3
